,bead,fcs_files,id,plan,replicate,gate,input,media,od,strain
0,https://hub.sd2e.org/user/sd2e/design/beads_spherotech_rainbow/1,['agave://data-sd2e-community/transcriptic/yeast-gates_q0/r1bbktv6x4xke/3/instrument_output/s877_R31509.fcs'],https://hub.sd2e.org/user/sd2e/transcriptic_yeast_gates_q0_r1bbktv6x4xke/s877_R31509/1,r1bbktv6x4xke,2.0,,,,,
1,https://hub.sd2e.org/user/sd2e/design/beads_spherotech_rainbow/1,['agave://data-sd2e-community/transcriptic/yeast-gates_q0/r1bbktv6x4xke/3/instrument_output/s877_R31424.fcs'],https://hub.sd2e.org/user/sd2e/transcriptic_yeast_gates_q0_r1bbktv6x4xke/s877_R31424/1,r1bbktv6x4xke,1.0,,,,,
2,https://hub.sd2e.org/user/sd2e/design/beads_spherotech_rainbow/1,['agave://data-sd2e-community/transcriptic/yeast-gates_q0/r1bbktv6x4xke/3/instrument_output/s877_R31339.fcs'],https://hub.sd2e.org/user/sd2e/transcriptic_yeast_gates_q0_r1bbktv6x4xke/s877_R31339/1,r1bbktv6x4xke,0.0,,,,,
3,,['agave://data-sd2e-community/transcriptic/yeast-gates_q0/r1bbktv6x4xke/3/instrument_output/s1871_R6256_R18715_R30771.fcs'],https://hub.sd2e.org/user/sd2e/transcriptic_yeast_gates_q0_r1bbktv6x4xke/s1871_R6256_R18715_R30771/1,r1bbktv6x4xke,2.0,UWBF_NOR,"[1, 0]",https://hub.sd2e.org/user/sd2e/design/culture_media_4/1,7.5e-05,https://hub.sd2e.org/user/sd2e/design/UWBF_6389/1
4,,['agave://data-sd2e-community/transcriptic/yeast-gates_q0/r1bbktv6x4xke/3/instrument_output/s1871_R6256_R18602_R30640.fcs'],https://hub.sd2e.org/user/sd2e/transcriptic_yeast_gates_q0_r1bbktv6x4xke/s1871_R6256_R18602_R30640/1,r1bbktv6x4xke,2.0,UWBF_NOR,"[1, 0]",https://hub.sd2e.org/user/sd2e/design/culture_media_4/1,0.00015,https://hub.sd2e.org/user/sd2e/design/UWBF_6389/1
5,,['agave://data-sd2e-community/transcriptic/yeast-gates_q0/r1bbktv6x4xke/3/instrument_output/s1871_R6256_R18489_R30509.fcs'],https://hub.sd2e.org/user/sd2e/transcriptic_yeast_gates_q0_r1bbktv6x4xke/s1871_R6256_R18489_R30509/1,r1bbktv6x4xke,2.0,UWBF_NOR,"[1, 0]",https://hub.sd2e.org/user/sd2e/design/culture_media_4/1,0.0003,https://hub.sd2e.org/user/sd2e/design/UWBF_6389/1
6,,['agave://data-sd2e-community/transcriptic/yeast-gates_q0/r1bbktv6x4xke/3/instrument_output/s1871_R6152_R18362_R30378.fcs'],https://hub.sd2e.org/user/sd2e/transcriptic_yeast_gates_q0_r1bbktv6x4xke/s1871_R6152_R18362_R30378/1,r1bbktv6x4xke,1.0,UWBF_NOR,"[1, 0]",https://hub.sd2e.org/user/sd2e/design/culture_media_4/1,7.5e-05,https://hub.sd2e.org/user/sd2e/design/UWBF_6389/1
7,,['agave://data-sd2e-community/transcriptic/yeast-gates_q0/r1bbktv6x4xke/3/instrument_output/s1871_R6152_R18249_R30247.fcs'],https://hub.sd2e.org/user/sd2e/transcriptic_yeast_gates_q0_r1bbktv6x4xke/s1871_R6152_R18249_R30247/1,r1bbktv6x4xke,1.0,UWBF_NOR,"[1, 0]",https://hub.sd2e.org/user/sd2e/design/culture_media_4/1,0.00015,https://hub.sd2e.org/user/sd2e/design/UWBF_6389/1
8,,['agave://data-sd2e-community/transcriptic/yeast-gates_q0/r1bbktv6x4xke/3/instrument_output/s1871_R6152_R18136_R30116.fcs'],https://hub.sd2e.org/user/sd2e/transcriptic_yeast_gates_q0_r1bbktv6x4xke/s1871_R6152_R18136_R30116/1,r1bbktv6x4xke,1.0,UWBF_NOR,"[1, 0]",https://hub.sd2e.org/user/sd2e/design/culture_media_4/1,0.0003,https://hub.sd2e.org/user/sd2e/design/UWBF_6389/1
9,,['agave://data-sd2e-community/transcriptic/yeast-gates_q0/r1bbktv6x4xke/3/instrument_output/s1871_R6048_R18009_R29985.fcs'],https://hub.sd2e.org/user/sd2e/transcriptic_yeast_gates_q0_r1bbktv6x4xke/s1871_R6048_R18009_R29985/1,r1bbktv6x4xke,0.0,UWBF_NOR,"[1, 0]",https://hub.sd2e.org/user/sd2e/design/culture_media_4/1,7.5e-05,https://hub.sd2e.org/user/sd2e/design/UWBF_6389/1
10,,['agave://data-sd2e-community/transcriptic/yeast-gates_q0/r1bbktv6x4xke/3/instrument_output/s1871_R6048_R17896_R29854.fcs'],https://hub.sd2e.org/user/sd2e/transcriptic_yeast_gates_q0_r1bbktv6x4xke/s1871_R6048_R17896_R29854/1,r1bbktv6x4xke,0.0,UWBF_NOR,"[1, 0]",https://hub.sd2e.org/user/sd2e/design/culture_media_4/1,0.00015,https://hub.sd2e.org/user/sd2e/design/UWBF_6389/1
11,,['agave://data-sd2e-community/transcriptic/yeast-gates_q0/r1bbktv6x4xke/3/instrument_output/s1871_R6048_R17783_R29723.fcs'],https://hub.sd2e.org/user/sd2e/transcriptic_yeast_gates_q0_r1bbktv6x4xke/s1871_R6048_R17783_R29723/1,r1bbktv6x4xke,0.0,UWBF_NOR,"[1, 0]",https://hub.sd2e.org/user/sd2e/design/culture_media_4/1,0.0003,https://hub.sd2e.org/user/sd2e/design/UWBF_6389/1
12,,['agave://data-sd2e-community/transcriptic/yeast-gates_q0/r1bbktv6x4xke/3/instrument_output/s1871_R5944_R17656_R29592.fcs'],https://hub.sd2e.org/user/sd2e/transcriptic_yeast_gates_q0_r1bbktv6x4xke/s1871_R5944_R17656_R29592/1,r1bbktv6x4xke,3.0,UWBF_NOR,"[1, 0]",https://hub.sd2e.org/user/sd2e/design/culture_media_4/1,7.5e-05,https://hub.sd2e.org/user/sd2e/design/UWBF_6389/1
